Reference,SiteID,Treatment,Treatment description,Latitude,Longitude,elevation_m,DataLevel,PubYear,StudyYear,Fertilizer_Type,Avg_Fert_N_Rate_kgNha,Land_Type,Country,Location,MeanPrec_mm,MeanTemp_c,Soil_Type_Pub,Soil_Type,Sand,Silt,Clay,soilC_perc,soilN_perc,pH,CEC,BD,Drainage,Precrop,Crop,Residues,soil_tillage,Irrigation,Liming,Study_Fertilizer_type,Fertilizer_additives,Appl_time,Appl_Mode,No_Appl,OMAD_applied,OMAD_Type,OMAD_Kg_N_ha,OMAD_CN,Total_kg_N_ha,N2OSampleMethod,Chamber_size_m3,chmbr_measurement_length_minutes,DM_crop_yield_t_ha,avg_Biomass_yield_t_ha
kelly.38,Terang,T4,"urine @ 1000 kg N/ha applied to 25% of the chamber base 17 Sept 2012, 22 Nov 2012, and 16 May 2013 with DCD is mixed in with urine at each application at a rate equivalent to 20 kg a.i./ha",-38.24,142.92,NA,NA,NA,2012-2013,NA,NA,NA,Australia,Victoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Urine plus DCD 20 kg a.i./ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
barton.79,Buntine,om.plus.urea,Orgain matter and Urea added,-30.01,116.34,315,NA,2016,2012-2014,Urea,100,cropland,Australia,Perth,291,19,free-draining sand,sand,90.4,3.2,6.4,NA,1.05,6.2,NA,NA,NA,NA,Canola-barley-oats,NA,NA,NA,NA,Urea,NA,NA,NA,NA,NA,NA,NA,NA,NA,auto chamber,2.50E-02,60,NA,NA
barton.79,Buntine,om.no.urea,"Orgain matter added, no Urea",-30.01,116.34,315,NA,2016,2012-2014,NA,0,cropland,Australia,Perth,291,19,free-draining sand,sand,90.4,3.2,6.4,NA,1.05,6.2,NA,NA,NA,NA,Canola-barley-oats,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,auto chamber,2.50E-02,60,NA,NA
barton.79,Buntine,no.om.no.urea,No organic matter and Urea added,-30.01,116.34,315,NA,2016,2012-2014,NA,0,cropland,Australia,Perth,291,19,free-draining sand,sand,92.9,2.2,4.9,NA,0.62,6.31,NA,NA,NA,NA,Canola-barley-oats,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,auto chamber,2.50E-02,60,NA,NA
barton.79,Buntine,no.om.plus.urea,"Urea added, no organic matter",-30.01,116.34,315,NA,2016,2012-2014,Urea,100,cropland,Australia,Perth,291,19,free-draining sand,sand,92.9,2.2,4.9,NA,0.62,6.31,NA,NA,NA,NA,Canola-barley-oats,NA,NA,NA,NA,Urea,NA,NA,NA,NA,NA,NA,NA,NA,NA,auto chamber,2.50E-02,60,NA,NA
barton.52,Wongan Hills,Lime.lw,3.5 t/ha lime added in lupin-wheat rotation,-30.89,116.72,305,NA,2013,2009-2011,Urea,10,cropland,Australia,North-east of Perth,374,19,free-draining sand,sand,92,2,6,10.3,0.96,5,3,NA,NA,NA,"wheat, lupin",NA,no,NA,yes,Urea,NA,NA,NA,NA,NA,NA,NA,NA,NA,auto chamber,2.50E-02,60,1.77,NA
barton.52,Wongan Hills,No-Lime.lw,no lime added in lupin-wheat rotation,-30.89,116.72,305,NA,2013,2009-2011,Urea,10,cropland,Australia,North-east of Perth,374,19,free-draining sand,sand,92,2,6,10.3,0.96,5,3,NA,NA,NA,"wheat, lupin",NA,no,NA,no,Urea,NA,NA,NA,NA,NA,NA,NA,NA,NA,auto chamber,2.50E-02,60,1.71,NA
barton.52,Wongan Hills,Lime.ww,3.5 t/ha lime added in wheat-wheat rotation,-30.89,116.72,305,NA,2013,2009-2011,Urea,62.5,cropland,Australia,North-east of Perth,374,19,free-draining sand,sand,92,2,6,10.3,0.96,5,3,NA,NA,NA,"wheat, wheat",NA,no,NA,yes,Urea,NA,NA,NA,NA,NA,NA,NA,NA,NA,auto chamber,2.50E-02,60,1.82,NA
barton.52,Wongan Hills,No-Lime.ww,no lime added in wheat-wheat rotation,-30.89,116.72,305,NA,2013,2009-2011,Urea,62.5,cropland,Australia,North-east of Perth,374,19,free-draining sand,sand,92,2,6,10.3,0.96,5,3,NA,NA,NA,"wheat, wheat",NA,no,NA,no,Urea,NA,NA,NA,NA,NA,NA,NA,NA,NA,auto chamber,2.50E-02,60,1.73,NA
Barton.Cunderdin,Cunderdin Agricultural College,FertApp,100/75 N,31.36,117.13,NA,NA,2008,2005-2007,NA,NA,cropland,Australia,Western Australia,368,18.25,NA,NA,93,4,3,9.8,0.76,6,3.3,1.4,NA,NA,whear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.5,NA,NA,NA,NA,NA
Barton.Cunderdin,Cunderdin Agricultural College,Control,0 Fert applied,31.36,117.13,NA,NA,2008,2005-2007,NA,NA,cropland,Australia,Western Australia,368,18.25,NA,NA,93,4,3,9.8,0.76,6,3.3,1.4,NA,NA,wheat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
WagnerRiddle,Elora Research Station,CT,conventional management system,43.39,-80.25,376,NA,2007,2000-2004,Urea+solid beef manure,78,cropland,Canada,Ontario,NA,NA,imperfectly drained Guelph silt loam,NA,29,52,19,NA,NA,7.6,NA,1.19,NA,NA,corn-soybean-winter wheat-corn-soybean,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flux-gradient,NA,NA,NA,NA
